"zwl_itemid","usd_itemid"
"685","471"
"686","581"
"687","573"
"688","559"
"689","461"
"690","592"
"691","516"
"692","496"
"693","578"
"694","567"
"695","493"
"696","501"
"697","473"
"698","562"
"699","467"
"700","468"
"701","466"
"702","576"
"703","563"
"704","553"
"705","492"
"706","462"
"707","486"
"708","485"
"709","577"
"710","564"
"711","495"
"712","463"
"713","494"
"714","584"
"715","585"
"716","583"
"717","588"
"718","582"
"719","591"
"720","586"
"721","545"
"722","557"
"723","470"
"724","490"
"725","566"
"726","575"
"727","590"
"728","587"
"729","571"
"730","569"
